id,name,owner.type,owner.login,description,stargazers_url,subscribers_url,created_at,updated_at,pushed_at,stargazers_count,forks_count,open_issues_count,has_wiki,has_downloads,has_projects,archived,license.key,license.name,license.url,issues_url ({/number}),stargazers_url,git_commits_url (/{sha}),pulls_url ({/number}),releases_url ({/id}),contributors_url
12625756,programming_challenges,User,bartekbp,C++ solutions to programming challenges,https://api.github.com/repos/bartekbp/programming_challenges/stargazers,https://api.github.com/repos/bartekbp/programming_challenges/subscribers,2013-09-05T18:44:09Z,2013-11-29T16:49:44Z,2013-10-13T18:09:30Z,0,0,0,True,True,True,False,mit,MIT License,https://api.github.com/licenses/mit,https://api.github.com/repos/bartekbp/programming_challenges/issues,https://api.github.com/repos/bartekbp/programming_challenges/stargazers,https://api.github.com/repos/bartekbp/programming_challenges/git/commits{/sha},https://api.github.com/repos/bartekbp/programming_challenges/pulls,https://api.github.com/repos/bartekbp/programming_challenges/releases,https://api.github.com/repos/bartekbp/programming_challenges/contributors,
1976501,mbpkbdbacklightctl,User,ChrisBuchholz,A not-actively developed work in progress,https://api.github.com/repos/ChrisBuchholz/mbpkbdbacklightctl/stargazers,https://api.github.com/repos/ChrisBuchholz/mbpkbdbacklightctl/subscribers,2011-06-30T04:57:52Z,2013-10-02T02:45:25Z,2011-08-19T09:24:38Z,1,0,0,True,True,True,False,gpl-3.0,GNU General Public License v3.0,https://api.github.com/licenses/gpl-3.0,https://api.github.com/repos/ChrisBuchholz/mbpkbdbacklightctl/issues,https://api.github.com/repos/ChrisBuchholz/mbpkbdbacklightctl/stargazers,https://api.github.com/repos/ChrisBuchholz/mbpkbdbacklightctl/git/commits{/sha},https://api.github.com/repos/ChrisBuchholz/mbpkbdbacklightctl/pulls,https://api.github.com/repos/ChrisBuchholz/mbpkbdbacklightctl/releases,https://api.github.com/repos/ChrisBuchholz/mbpkbdbacklightctl/contributors,
26005784,object_clustering,User,cococo1,A C++ program which detects and clusters objects on the image.,https://api.github.com/repos/cococo1/object_clustering/stargazers,https://api.github.com/repos/cococo1/object_clustering/subscribers,2014-10-31T07:03:52Z,2014-11-25T16:51:28Z,2014-11-25T16:51:28Z,0,0,0,True,True,True,False,mit,MIT License,https://api.github.com/licenses/mit,https://api.github.com/repos/cococo1/object_clustering/issues,https://api.github.com/repos/cococo1/object_clustering/stargazers,https://api.github.com/repos/cococo1/object_clustering/git/commits{/sha},https://api.github.com/repos/cococo1/object_clustering/pulls,https://api.github.com/repos/cococo1/object_clustering/releases,https://api.github.com/repos/cococo1/object_clustering/contributors,
26227374,Examen_1,User,erisrivera19,None,https://api.github.com/repos/erisrivera19/Examen_1/stargazers,https://api.github.com/repos/erisrivera19/Examen_1/subscribers,2014-11-05T16:03:20Z,2014-11-05T16:03:29Z,2014-11-05T16:03:29Z,0,0,0,True,True,True,False,gpl-3.0,GNU General Public License v3.0,https://api.github.com/licenses/gpl-3.0,https://api.github.com/repos/erisrivera19/Examen_1/issues,https://api.github.com/repos/erisrivera19/Examen_1/stargazers,https://api.github.com/repos/erisrivera19/Examen_1/git/commits{/sha},https://api.github.com/repos/erisrivera19/Examen_1/pulls,https://api.github.com/repos/erisrivera19/Examen_1/releases,https://api.github.com/repos/erisrivera19/Examen_1/contributors,
43022051,MediatorPatternExample-C,User,IceColdCode,None,https://api.github.com/repos/IceColdCode/MediatorPatternExample-C/stargazers,https://api.github.com/repos/IceColdCode/MediatorPatternExample-C/subscribers,2015-09-23T19:26:02Z,2015-09-23T19:32:14Z,2015-09-23T19:40:23Z,0,0,0,True,True,True,False,gpl-2.0,GNU General Public License v2.0,https://api.github.com/licenses/gpl-2.0,https://api.github.com/repos/IceColdCode/MediatorPatternExample-C/issues,https://api.github.com/repos/IceColdCode/MediatorPatternExample-C/stargazers,https://api.github.com/repos/IceColdCode/MediatorPatternExample-C/git/commits{/sha},https://api.github.com/repos/IceColdCode/MediatorPatternExample-C/pulls,https://api.github.com/repos/IceColdCode/MediatorPatternExample-C/releases,https://api.github.com/repos/IceColdCode/MediatorPatternExample-C/contributors,
60507637,Arduino-Messanger-Client,User,lethalskillzz,None,https://api.github.com/repos/lethalskillzz/Arduino-Messanger-Client/stargazers,https://api.github.com/repos/lethalskillzz/Arduino-Messanger-Client/subscribers,2016-06-06T07:29:56Z,2016-06-06T07:33:48Z,2016-08-14T17:45:30Z,0,0,0,True,True,True,False,mit,MIT License,https://api.github.com/licenses/mit,https://api.github.com/repos/lethalskillzz/Arduino-Messanger-Client/issues,https://api.github.com/repos/lethalskillzz/Arduino-Messanger-Client/stargazers,https://api.github.com/repos/lethalskillzz/Arduino-Messanger-Client/git/commits{/sha},https://api.github.com/repos/lethalskillzz/Arduino-Messanger-Client/pulls,https://api.github.com/repos/lethalskillzz/Arduino-Messanger-Client/releases,https://api.github.com/repos/lethalskillzz/Arduino-Messanger-Client/contributors,
91344409,digit-recognizer,User,luckstar77,digital recognize,https://api.github.com/repos/luckstar77/digit-recognizer/stargazers,https://api.github.com/repos/luckstar77/digit-recognizer/subscribers,2017-05-15T14:00:07Z,2017-05-30T07:44:30Z,2017-07-13T15:05:42Z,2,0,0,True,True,True,False,lgpl-3.0,GNU Lesser General Public License v3.0,https://api.github.com/licenses/lgpl-3.0,https://api.github.com/repos/luckstar77/digit-recognizer/issues,https://api.github.com/repos/luckstar77/digit-recognizer/stargazers,https://api.github.com/repos/luckstar77/digit-recognizer/git/commits{/sha},https://api.github.com/repos/luckstar77/digit-recognizer/pulls,https://api.github.com/repos/luckstar77/digit-recognizer/releases,https://api.github.com/repos/luckstar77/digit-recognizer/contributors,
42788973,modern-cpp-concepts,User,mandliya,A repository containing C++11/14/17  concepts and code snippets,https://api.github.com/repos/mandliya/modern-cpp-concepts/stargazers,https://api.github.com/repos/mandliya/modern-cpp-concepts/subscribers,2015-09-19T20:43:05Z,2018-11-02T21:00:28Z,2018-01-31T07:57:22Z,26,8,0,True,True,True,False,mit,MIT License,https://api.github.com/licenses/mit,https://api.github.com/repos/mandliya/modern-cpp-concepts/issues,https://api.github.com/repos/mandliya/modern-cpp-concepts/stargazers,https://api.github.com/repos/mandliya/modern-cpp-concepts/git/commits{/sha},https://api.github.com/repos/mandliya/modern-cpp-concepts/pulls,https://api.github.com/repos/mandliya/modern-cpp-concepts/releases,https://api.github.com/repos/mandliya/modern-cpp-concepts/contributors,
21970693,libregexop,User,mbarrio,A regular expression substitution operator for IBM DataStage,https://api.github.com/repos/mbarrio/libregexop/stargazers,https://api.github.com/repos/mbarrio/libregexop/subscribers,2014-07-18T06:43:42Z,2018-06-01T22:07:04Z,2014-09-17T06:58:07Z,1,0,0,True,True,True,False,lgpl-3.0,GNU Lesser General Public License v3.0,https://api.github.com/licenses/lgpl-3.0,https://api.github.com/repos/mbarrio/libregexop/issues,https://api.github.com/repos/mbarrio/libregexop/stargazers,https://api.github.com/repos/mbarrio/libregexop/git/commits{/sha},https://api.github.com/repos/mbarrio/libregexop/pulls,https://api.github.com/repos/mbarrio/libregexop/releases,https://api.github.com/repos/mbarrio/libregexop/contributors,
13303282,FreePhyloTree,User,Peregring-lk,A libre graphic viewer of phylogenetic trees.,https://api.github.com/repos/Peregring-lk/FreePhyloTree/stargazers,https://api.github.com/repos/Peregring-lk/FreePhyloTree/subscribers,2013-10-03T16:23:31Z,2013-10-03T17:13:31Z,2013-10-03T17:12:52Z,0,0,0,True,True,True,False,gpl-3.0,GNU General Public License v3.0,https://api.github.com/licenses/gpl-3.0,https://api.github.com/repos/Peregring-lk/FreePhyloTree/issues,https://api.github.com/repos/Peregring-lk/FreePhyloTree/stargazers,https://api.github.com/repos/Peregring-lk/FreePhyloTree/git/commits{/sha},https://api.github.com/repos/Peregring-lk/FreePhyloTree/pulls,https://api.github.com/repos/Peregring-lk/FreePhyloTree/releases,https://api.github.com/repos/Peregring-lk/FreePhyloTree/contributors,
