owner.login_name	owner.type	open_issues_count	has_wiki	has_downloads	has_projects	archived	size	fork	owner_popularity	contributor_popularity	average_commit_char_count	num_contributors	num_pull_requests	num_releases	commits	created_time	updated_time
0-1heyi_notebook	1	0	1	1	1	0	82	0	0	0	16.0	1	0	0	2	20151117	20151117
01000101_onedrive-linux-client	1	0	1	1	1	0	644	0	0	0	21.166666666666668	1	0	0	6	20140829	20181024
010010100110111101100101_UWConfig	1	0	1	1	1	0	26	0	0	0	19.142857142857142	1	0	0	7	20170207	20170212
0151n_particles2	1	0	1	1	1	0	196	0	0	0	38.416666666666664	1	0	0	12	20140828	20160605
01office_leetcode	0	0	1	1	1	0	58	0	0	0	14.3	2	0	0	59	20160901	20160901
0CBH0_wiiurpxtool	1	2	1	1	1	0	50	0	0	0	23.956521739130434	1	0	4	23	20160409	20181103
0Camus0_cil	1	0	1	1	1	0	0	0	0	0	22.571428571428573	1	0	0	7	20151109	20180607
0cch_SymWrap	1	0	1	1	1	0	124	0	0	0	13.0	1	0	0	5	20130824	20181008
0cin_gay_stl	1	0	1	1	1	0	34	0	0	0	37.5	1	0	0	8	20171001	20171001
0mp_tflclck	1	0	1	1	1	0	11	0	0	0	26.666666666666668	2	0	0	12	20140624	20180123
0of_simple-canvas	1	0	1	1	1	0	12	0	0	0	17.833333333333332	1	0	0	6	20151113	20151114
0of_t-rand	1	0	1	1	1	0	20	0	0	0	35.86666666666667	1	0	0	31	20160502	20160503
0plits0_PlitsDelay	1	0	1	1	1	0	124	0	0	0	17.5	1	0	0	2	20150325	20150325
0tacon_GameOfLife	1	0	1	1	1	0	260	0	0	0	88.0	1	0	0	6	20140719	20140719
0tacon_GameOfLife_Qt	1	0	1	1	1	0	16376	0	0	0	34.0	1	0	0	5	20140719	20140719
0tacon_SudokuSolver	1	0	1	1	1	0	908	0	0	0	27.916666666666668	1	0	0	12	20140506	20140723
0to1_TemplateThread	1	0	1	1	1	0	9	0	0	0	23.0	1	0	0	5	20151222	20160114
0x17de_ChatServer	1	0	1	1	1	0	124	0	0	0	15.133333333333333	1	0	0	15	20130821	20150219
0x17de_CppStreams	1	0	1	1	1	0	128	0	0	0	19.705882352941178	1	0	0	17	20130822	20131128
0x17de_LibJect	1	0	1	1	1	0	156	0	0	0	20.428571428571427	1	0	0	14	20140517	20141224
0x17de_MapEditor	1	1	1	1	1	0	328	0	0	0	23.0	1	0	0	27	20131101	20170410
0x17de_clangAST-calltree	1	1	1	1	1	0	197	0	0	0	19.6	1	0	0	15	20140408	20140518
0x1mason_libwebdriver	1	0	1	1	1	0	192	0	0	0	27.375	1	0	0	8	20150102	20151206
0xDCA_competitive_programming	1	0	1	1	1	0	180	0	0	0	30.0	1	0	0	6	20140430	20171208
0xa_webcpp	1	0	1	1	1	0	128	0	0	0	12.4	1	0	0	5	20131103	20160812
0xbaadf00d_steam-tools	1	0	0	1	1	0	39	0	0	0	27.4	1	0	2	15	20150725	20151209
0xbadfca11_fat32format	1	0	0	1	0	0	53	0	0	0	21.05263157894737	1	0	2	20	20150724	20181105
0xbadfca11_lxsstat	1	5	0	1	0	0	116	0	0	0	25.9	1	0	18	73	20160424	20181028
0xbadfca11_reflink	1	0	0	1	0	0	65	0	0	0	20.566666666666666	1	0	6	68	20150326	20181027
1-21Gigawatts_Still_Alive	1	0	1	1	1	0	312	0	0	0	13.0	1	0	0	2	20150610	20150610
